Instrument,Account,Market pos.,Quantity,Entry price,Exit price,Entry time,Exit time,Profit,Commission
NQ 03-25,SIM101,Short,1,5000.04,4970.09,2025-01-10 15:24:00,2025-01-10 15:34:00,-484.14,6.27
NQ 03-25,SIM101,Short,2,5038.0,4938.53,2025-01-13 10:37:00,2025-01-13 10:50:00,-256.4,8.36
ES 03-25,SIM101,Short,1,5030.28,4891.76,2025-01-13 13:27:00,2025-01-13 16:41:00,412.25,8.36
CL 03-25,SIM101,Short,1,5021.39,4958.11,2025-01-13 14:02:00,2025-01-13 16:10:00,455.52,8.36
GC 03-25,SIM101,Long,1,5036.87,5014.77,2025-01-13 15:06:00,2025-01-13 17:06:00,-93.07,8.36
ES 03-25,SIM101,Long,2,5036.95,4935.56,2025-01-14 11:42:00,2025-01-14 15:12:00,-173.27,6.27
NQ 03-25,SIM101,Long,3,5065.51,5084.68,2025-01-14 14:54:00,2025-01-14 17:10:00,-348.17,2.09
ES 03-25,SIM101,Long,3,5041.65,4988.63,2025-01-14 14:54:00,2025-01-14 15:10:00,241.73,8.36
NQ 03-25,SIM101,Short,3,4936.15,4965.96,2025-01-14 15:51:00,2025-01-14 19:23:00,163.21,6.27
GC 03-25,SIM101,Short,2,4967.49,5082.13,2025-01-15 07:28:00,2025-01-15 07:53:00,723.38,2.09
ES 03-25,SIM101,Short,3,5032.45,5044.97,2025-01-15 09:55:00,2025-01-15 11:59:00,-284.92,4.18
CL 03-25,SIM101,Short,2,5007.86,5008.33,2025-01-15 14:34:00,2025-01-15 15:43:00,495.01,2.09
NQ 03-25,SIM101,Short,1,5004.82,4992.7,2025-01-15 19:40:00,2025-01-15 23:00:00,152.25,8.36
GC 03-25,SIM101,Short,1,5009.16,4975.17,2025-01-16 03:46:00,2025-01-16 04:27:00,191.76,2.09
ES 03-25,SIM101,Long,3,4997.71,4963.05,2025-01-16 07:37:00,2025-01-16 10:52:00,-193.91,8.36
ES 03-25,SIM101,Long,1,4956.78,4994.93,2025-01-16 15:03:00,2025-01-16 17:33:00,-332.61,2.09
CL 03-25,SIM101,Short,1,5032.88,5000.32,2025-01-16 21:40:00,2025-01-17 01:04:00,295.46,4.18
ES 03-25,SIM101,Short,3,4899.47,5035.85,2025-01-17 09:27:00,2025-01-17 10:49:00,-117.59,8.36
CL 03-25,SIM101,Long,2,5015.47,4989.11,2025-01-17 11:08:00,2025-01-17 11:47:00,-93.07,2.09
GC 03-25,SIM101,Long,2,4977.33,4987.06,2025-01-17 15:29:00,2025-01-17 18:21:00,232.43,2.09
NQ 03-25,SIM101,Long,1,4967.22,4994.41,2025-01-17 19:47:00,2025-01-17 20:33:00,199.03,8.36
NQ 03-25,SIM101,Short,2,4955.92,5080.46,2025-01-20 07:15:00,2025-01-20 10:53:00,-113.88,6.27
CL 03-25,SIM101,Short,2,5015.48,5003.24,2025-01-20 15:38:00,2025-01-20 16:56:00,-190.55,6.27
GC 03-25,SIM101,Long,1,5041.0,5029.17,2025-01-20 19:17:00,2025-01-20 20:42:00,92.01,2.09
CL 03-25,SIM101,Short,2,5022.05,4992.7,2025-01-20 21:05:00,2025-01-20 21:11:00,391.32,4.18
GC 03-25,SIM101,Short,3,4984.7,4984.44,2025-01-21 09:29:00,2025-01-21 10:32:00,-193.97,6.27
GC 03-25,SIM101,Short,1,4976.16,4929.73,2025-01-21 13:48:00,2025-01-21 17:15:00,-620.88,2.09
NQ 03-25,SIM101,Long,1,4955.55,5007.32,2025-01-21 19:37:00,2025-01-21 22:24:00,-45.37,4.18
CL 03-25,SIM101,Long,2,4998.55,5001.36,2025-01-21 21:53:00,2025-01-22 01:03:00,133.64,2.09
CL 03-25,SIM101,Short,1,4962.77,4997.56,2025-01-22 09:05:00,2025-01-22 11:59:00,-242.5,6.27
NQ 03-25,SIM101,Short,1,4993.49,4958.55,2025-01-22 11:47:00,2025-01-22 14:52:00,166.0,2.09
ES 03-25,SIM101,Long,2,4976.85,4989.63,2025-01-22 13:42:00,2025-01-22 15:56:00,250.98,6.27
GC 03-25,SIM101,Long,3,4956.26,4939.94,2025-01-22 14:10:00,2025-01-22 14:18:00,1114.44,4.18
CL 03-25,SIM101,Short,1,5011.32,5021.87,2025-01-23 10:53:00,2025-01-23 13:23:00,-238.0,8.36
ES 03-25,SIM101,Short,2,5023.17,4996.84,2025-01-23 15:21:00,2025-01-23 16:50:00,-427.58,8.36
ES 03-25,SIM101,Short,3,5047.3,5029.63,2025-01-23 19:13:00,2025-01-23 22:29:00,-451.51,2.09
ES 03-25,SIM101,Long,2,4950.0,5037.24,2025-01-23 21:33:00,2025-01-24 00:38:00,-230.93,6.27
NQ 03-25,SIM101,Long,3,4977.46,5019.17,2025-01-24 07:02:00,2025-01-24 07:53:00,-359.6,6.27
ES 03-25,SIM101,Short,2,4974.31,4924.56,2025-01-24 13:11:00,2025-01-24 13:48:00,72.12,8.36
GC 03-25,SIM101,Short,2,4972.86,4983.41,2025-01-24 13:20:00,2025-01-24 17:03:00,-59.83,8.36
GC 03-25,SIM101,Long,2,4902.78,4957.37,2025-01-24 14:03:00,2025-01-24 17:07:00,108.74,2.09
CL 03-25,SIM101,Long,2,4969.04,4970.52,2025-01-27 10:34:00,2025-01-27 14:17:00,239.85,6.27
NQ 03-25,SIM101,Short,3,4996.0,4996.17,2025-01-27 14:34:00,2025-01-27 16:03:00,79.47,4.18
NQ 03-25,SIM101,Long,2,5011.69,5052.52,2025-01-27 14:43:00,2025-01-27 16:12:00,86.55,6.27
ES 03-25,SIM101,Long,2,5063.7,5035.03,2025-01-27 19:49:00,2025-01-27 21:28:00,-369.07,8.36
CL 03-25,SIM101,Long,2,4935.46,4967.22,2025-01-28 03:07:00,2025-01-28 06:37:00,-256.27,8.36
ES 03-25,SIM101,Long,2,4975.8,4983.95,2025-01-28 09:17:00,2025-01-28 12:01:00,-44.36,2.09
CL 03-25,SIM101,Long,2,4983.06,4983.84,2025-01-28 15:11:00,2025-01-28 17:56:00,-287.8,6.27
GC 03-25,SIM101,Short,3,5006.5,5014.5,2025-01-28 19:38:00,2025-01-28 21:17:00,-298.13,2.09
ES 03-25,SIM101,Long,2,4962.27,4980.76,2025-01-29 03:36:00,2025-01-29 07:34:00,-188.61,4.18
GC 03-25,SIM101,Long,3,4989.71,4994.31,2025-01-29 09:42:00,2025-01-29 11:57:00,-325.19,4.18
ES 03-25,SIM101,Long,2,4939.6,4976.69,2025-01-29 11:19:00,2025-01-29 14:28:00,-321.89,6.27
CL 03-25,SIM101,Short,3,4954.07,5065.07,2025-01-29 14:17:00,2025-01-29 14:58:00,-46.87,8.36
CL 03-25,SIM101,Long,1,5022.05,5005.23,2025-01-30 10:34:00,2025-01-30 11:24:00,-163.9,2.09
ES 03-25,SIM101,Short,2,4986.95,5034.7,2025-01-30 11:42:00,2025-01-30 11:47:00,216.65,2.09
CL 03-25,SIM101,Short,1,4962.37,5018.04,2025-01-30 11:50:00,2025-01-30 12:49:00,-22.82,6.27
NQ 03-25,SIM101,Long,1,4968.0,4923.52,2025-01-30 19:16:00,2025-01-30 22:16:00,106.94,8.36
GC 03-25,SIM101,Short,3,5010.03,5012.2,2025-01-31 07:59:00,2025-01-31 08:35:00,-290.41,2.09
NQ 03-25,SIM101,Long,3,4933.17,4955.84,2025-01-31 10:40:00,2025-01-31 10:44:00,-115.19,4.18
NQ 03-25,SIM101,Long,2,5128.77,4975.47,2025-01-31 21:11:00,2025-02-01 00:40:00,-590.9,2.09
CL 03-25,SIM101,Long,2,5001.09,4977.08,2025-01-31 21:13:00,2025-01-31 22:36:00,-544.76,4.18
NQ 03-25,SIM101,Short,1,4973.59,4983.42,2025-02-03 03:22:00,2025-02-03 05:18:00,713.12,2.09
NQ 03-25,SIM101,Short,3,4944.17,5032.66,2025-02-03 07:34:00,2025-02-03 08:32:00,-314.78,8.36
GC 03-25,SIM101,Short,3,5060.68,4973.95,2025-02-03 15:02:00,2025-02-03 18:10:00,-411.49,4.18
ES 03-25,SIM101,Short,2,5008.78,4998.99,2025-02-03 19:10:00,2025-02-03 21:24:00,172.4,2.09
NQ 03-25,SIM101,Short,1,4957.49,5014.98,2025-02-04 03:31:00,2025-02-04 04:06:00,-257.28,6.27
CL 03-25,SIM101,Short,2,4968.16,4951.79,2025-02-04 09:29:00,2025-02-04 12:01:00,-493.08,6.27
CL 03-25,SIM101,Short,2,4956.1,5037.9,2025-02-04 10:49:00,2025-02-04 14:04:00,-613.16,6.27
GC 03-25,SIM101,Long,1,4965.36,4973.27,2025-02-04 11:14:00,2025-02-04 11:57:00,329.9,4.18
GC 03-25,SIM101,Long,1,4952.04,5035.86,2025-02-05 10:05:00,2025-02-05 11:02:00,-289.03,4.18
CL 03-25,SIM101,Short,3,5040.3,5070.1,2025-02-05 10:46:00,2025-02-05 14:24:00,-318.45,4.18
GC 03-25,SIM101,Long,1,5043.47,4965.43,2025-02-05 14:19:00,2025-02-05 15:23:00,153.38,2.09
NQ 03-25,SIM101,Long,2,5020.66,5080.14,2025-02-05 14:51:00,2025-02-05 17:59:00,71.96,6.27
GC 03-25,SIM101,Short,2,4928.4,5034.11,2025-02-06 09:01:00,2025-02-06 09:30:00,-187.85,6.27
CL 03-25,SIM101,Short,3,4967.13,5062.38,2025-02-06 09:44:00,2025-02-06 12:51:00,-105.99,8.36
GC 03-25,SIM101,Short,2,5048.83,5050.75,2025-02-06 14:34:00,2025-02-06 16:53:00,301.33,2.09
NQ 03-25,SIM101,Long,1,4970.93,4892.78,2025-02-06 15:27:00,2025-02-06 17:33:00,76.0,6.27
CL 03-25,SIM101,Short,3,5042.69,4903.75,2025-02-07 03:52:00,2025-02-07 07:38:00,152.03,8.36
NQ 03-25,SIM101,Long,1,5005.31,4980.07,2025-02-07 19:08:00,2025-02-07 20:56:00,-45.11,4.18
GC 03-25,SIM101,Short,2,4960.04,5020.16,2025-02-07 19:35:00,2025-02-07 22:41:00,-293.33,2.09
CL 03-25,SIM101,Long,2,5033.38,4952.5,2025-02-07 21:36:00,2025-02-07 22:57:00,-230.23,2.09
CL 03-25,SIM101,Long,2,5013.5,5015.13,2025-02-10 09:56:00,2025-02-10 13:42:00,268.62,6.27
ES 03-25,SIM101,Long,1,5019.42,4993.56,2025-02-10 10:26:00,2025-02-10 12:56:00,415.6,4.18
ES 03-25,SIM101,Long,1,5035.87,5008.66,2025-02-10 13:32:00,2025-02-10 16:09:00,-236.13,6.27
CL 03-25,SIM101,Short,3,5043.26,5014.58,2025-02-10 21:57:00,2025-02-11 01:08:00,-306.68,8.36
NQ 03-25,SIM101,Long,1,4952.35,4981.67,2025-02-11 03:26:00,2025-02-11 05:08:00,-223.7,8.36
ES 03-25,SIM101,Short,2,4985.36,5061.74,2025-02-11 13:39:00,2025-02-11 14:34:00,-468.74,6.27
CL 03-25,SIM101,Short,2,4968.15,5049.9,2025-02-11 14:45:00,2025-02-11 16:21:00,-146.74,8.36
CL 03-25,SIM101,Short,1,4919.24,5009.06,2025-02-11 19:32:00,2025-02-11 21:05:00,-17.25,6.27
NQ 03-25,SIM101,Short,2,4996.7,5023.4,2025-02-12 03:37:00,2025-02-12 04:30:00,-5.3,2.09
ES 03-25,SIM101,Long,3,5050.24,4944.54,2025-02-12 14:09:00,2025-02-12 17:15:00,-264.18,4.18
CL 03-25,SIM101,Short,1,4983.08,4913.24,2025-02-12 15:49:00,2025-02-12 18:49:00,296.49,2.09
ES 03-25,SIM101,Short,2,5075.46,5000.46,2025-02-12 19:39:00,2025-02-12 21:18:00,-123.98,2.09
CL 03-25,SIM101,Long,1,5011.58,4955.44,2025-02-13 03:14:00,2025-02-13 04:34:00,-378.07,2.09
ES 03-25,SIM101,Short,1,5024.21,5004.67,2025-02-13 03:41:00,2025-02-13 06:57:00,-111.43,8.36
NQ 03-25,SIM101,Short,3,5018.5,4943.62,2025-02-13 09:47:00,2025-02-13 13:31:00,-65.24,6.27
ES 03-25,SIM101,Short,2,4980.76,4961.04,2025-02-13 19:19:00,2025-02-13 19:36:00,-372.69,8.36
NQ 03-25,SIM101,Long,1,5044.55,5033.92,2025-02-14 10:40:00,2025-02-14 12:52:00,-165.78,4.18
ES 03-25,SIM101,Long,3,5015.66,4933.7,2025-02-14 11:20:00,2025-02-14 14:21:00,207.71,8.36
NQ 03-25,SIM101,Short,1,4944.43,5031.68,2025-02-14 13:12:00,2025-02-14 16:37:00,-216.42,8.36
NQ 03-25,SIM101,Short,3,4996.56,4989.96,2025-02-14 21:54:00,2025-02-14 22:53:00,-600.5,4.18
ES 03-25,SIM101,Long,2,5015.24,4931.44,2025-02-17 03:46:00,2025-02-17 07:23:00,264.53,6.27
CL 03-25,SIM101,Long,3,5017.22,4944.45,2025-02-17 07:06:00,2025-02-17 07:50:00,-371.71,6.27
GC 03-25,SIM101,Long,3,5041.56,4898.75,2025-02-17 07:20:00,2025-02-17 08:50:00,219.31,4.18
CL 03-25,SIM101,Long,3,4983.32,4951.44,2025-02-17 10:43:00,2025-02-17 14:16:00,131.65,4.18
ES 03-25,SIM101,Short,1,5046.65,5024.21,2025-02-18 03:25:00,2025-02-18 06:49:00,190.58,4.18
NQ 03-25,SIM101,Short,1,5017.23,4918.41,2025-02-18 14:55:00,2025-02-18 16:40:00,-230.13,2.09
NQ 03-25,SIM101,Long,1,5050.85,4993.97,2025-02-18 15:14:00,2025-02-18 17:26:00,-254.13,8.36
NQ 03-25,SIM101,Short,2,4966.03,5062.0,2025-02-18 21:28:00,2025-02-18 21:57:00,433.72,4.18
CL 03-25,SIM101,Short,1,4992.07,4959.97,2025-02-19 07:52:00,2025-02-19 09:38:00,339.69,6.27
GC 03-25,SIM101,Short,3,4910.71,5055.48,2025-02-19 07:54:00,2025-02-19 09:54:00,-270.19,6.27
GC 03-25,SIM101,Short,2,5018.72,4932.94,2025-02-19 11:38:00,2025-02-19 14:15:00,341.03,8.36
CL 03-25,SIM101,Long,1,5039.95,5029.77,2025-02-19 13:51:00,2025-02-19 14:27:00,156.71,6.27
CL 03-25,SIM101,Long,2,4921.34,4989.66,2025-02-20 07:14:00,2025-02-20 10:06:00,470.69,2.09
CL 03-25,SIM101,Short,2,5013.43,4997.09,2025-02-20 10:40:00,2025-02-20 13:18:00,-398.65,4.18
NQ 03-25,SIM101,Short,2,5025.85,5016.78,2025-02-20 11:09:00,2025-02-20 15:01:00,310.55,2.09
NQ 03-25,SIM101,Short,2,5016.95,4969.66,2025-02-20 15:06:00,2025-02-20 17:48:00,312.78,4.18
ES 03-25,SIM101,Short,2,5009.51,4975.1,2025-02-21 07:13:00,2025-02-21 09:08:00,263.67,4.18
ES 03-25,SIM101,Short,3,4972.65,4996.92,2025-02-21 09:31:00,2025-02-21 10:07:00,-148.53,6.27
ES 03-25,SIM101,Short,1,4967.8,5075.7,2025-02-21 10:18:00,2025-02-21 12:39:00,131.51,2.09
GC 03-25,SIM101,Long,2,4975.96,5113.83,2025-02-21 14:45:00,2025-02-21 15:31:00,92.15,8.36
ES 03-25,SIM101,Short,2,5027.95,4986.28,2025-02-24 03:27:00,2025-02-24 06:55:00,537.41,6.27
NQ 03-25,SIM101,Long,1,5030.63,5007.2,2025-02-24 11:55:00,2025-02-24 12:49:00,471.82,6.27
CL 03-25,SIM101,Long,3,5003.97,4960.0,2025-02-24 19:32:00,2025-02-24 21:00:00,-207.47,4.18
GC 03-25,SIM101,Short,1,5045.36,5095.31,2025-02-24 21:12:00,2025-02-24 21:40:00,51.52,6.27
NQ 03-25,SIM101,Long,3,5043.58,4992.49,2025-02-25 07:12:00,2025-02-25 09:16:00,110.23,8.36
NQ 03-25,SIM101,Long,2,5017.76,5044.01,2025-02-25 10:47:00,2025-02-25 14:15:00,-100.76,2.09
ES 03-25,SIM101,Long,3,5028.82,4972.23,2025-02-25 15:58:00,2025-02-25 19:36:00,389.14,2.09
CL 03-25,SIM101,Long,2,4923.28,4982.92,2025-02-25 19:13:00,2025-02-25 19:18:00,-11.69,2.09
ES 03-25,SIM101,Long,3,5030.94,4987.06,2025-02-26 13:03:00,2025-02-26 14:30:00,179.8,8.36
CL 03-25,SIM101,Short,1,5026.71,4966.84,2025-02-26 13:13:00,2025-02-26 13:47:00,-216.99,4.18
ES 03-25,SIM101,Short,2,5022.14,5020.82,2025-02-26 14:33:00,2025-02-26 18:16:00,243.66,4.18
ES 03-25,SIM101,Long,1,5036.04,5028.47,2025-02-26 21:10:00,2025-02-27 00:02:00,157.13,4.18
ES 03-25,SIM101,Short,2,4989.2,5053.76,2025-02-27 03:53:00,2025-02-27 04:35:00,-50.99,2.09
NQ 03-25,SIM101,Long,2,5055.73,4970.75,2025-02-27 09:41:00,2025-02-27 11:31:00,-789.95,2.09
NQ 03-25,SIM101,Short,3,5043.14,4946.34,2025-02-27 10:35:00,2025-02-27 12:24:00,-839.04,6.27
CL 03-25,SIM101,Short,3,4991.58,5027.05,2025-02-27 14:39:00,2025-02-27 16:52:00,-250.23,8.36
GC 03-25,SIM101,Long,2,5047.12,5002.0,2025-02-28 10:55:00,2025-02-28 11:13:00,193.65,6.27
ES 03-25,SIM101,Short,2,5004.89,4985.3,2025-02-28 13:27:00,2025-02-28 15:02:00,133.44,2.09
ES 03-25,SIM101,Long,3,4973.92,5029.92,2025-02-28 14:10:00,2025-02-28 15:29:00,-166.98,2.09
NQ 03-25,SIM101,Long,1,5005.37,5058.69,2025-02-28 15:55:00,2025-02-28 17:45:00,-3.1,2.09
NQ 03-25,SIM101,Long,3,5002.3,5047.57,2025-03-03 07:32:00,2025-03-03 08:27:00,271.71,2.09
GC 03-25,SIM101,Short,3,4899.2,4969.13,2025-03-03 13:26:00,2025-03-03 15:58:00,-71.74,6.27
GC 03-25,SIM101,Long,2,4976.36,5001.5,2025-03-03 13:40:00,2025-03-03 14:36:00,137.39,8.36
ES 03-25,SIM101,Short,3,4942.54,4942.26,2025-03-03 19:03:00,2025-03-03 22:26:00,171.77,8.36
GC 03-25,SIM101,Long,2,5044.66,4971.15,2025-03-04 11:44:00,2025-03-04 15:02:00,427.57,4.18
CL 03-25,SIM101,Short,1,4975.54,4967.76,2025-03-04 13:19:00,2025-03-04 16:48:00,-173.91,6.27
GC 03-25,SIM101,Short,1,5013.0,4906.6,2025-03-04 13:49:00,2025-03-04 15:43:00,222.09,8.36
GC 03-25,SIM101,Long,1,5068.91,4972.04,2025-03-04 14:18:00,2025-03-04 15:58:00,267.62,4.18
NQ 03-25,SIM101,Short,1,4987.02,5014.73,2025-03-05 09:11:00,2025-03-05 12:22:00,-436.78,2.09
ES 03-25,SIM101,Long,3,5019.39,4933.88,2025-03-05 11:44:00,2025-03-05 14:55:00,-148.97,2.09
GC 03-25,SIM101,Long,3,4995.6,5039.54,2025-03-05 13:41:00,2025-03-05 15:43:00,444.42,4.18
GC 03-25,SIM101,Long,1,4965.73,4990.06,2025-03-05 14:39:00,2025-03-05 14:59:00,-382.39,8.36
NQ 03-25,SIM101,Short,3,4988.33,4925.92,2025-03-06 07:40:00,2025-03-06 08:40:00,157.08,2.09
NQ 03-25,SIM101,Short,3,5009.88,4998.09,2025-03-06 13:07:00,2025-03-06 14:34:00,-177.14,4.18
ES 03-25,SIM101,Long,2,5032.6,5016.38,2025-03-06 13:08:00,2025-03-06 15:47:00,-229.58,4.18
CL 03-25,SIM101,Long,1,4997.84,5025.08,2025-03-06 14:58:00,2025-03-06 18:35:00,-46.28,2.09
CL 03-25,SIM101,Short,3,5012.08,5021.01,2025-03-07 03:34:00,2025-03-07 04:14:00,-123.4,6.27
CL 03-25,SIM101,Short,1,4958.54,5036.9,2025-03-07 09:45:00,2025-03-07 12:05:00,439.07,2.09
CL 03-25,SIM101,Short,2,4956.61,5012.27,2025-03-07 11:22:00,2025-03-07 13:55:00,56.87,6.27
NQ 03-25,SIM101,Long,1,5071.01,4999.48,2025-03-07 11:57:00,2025-03-07 12:08:00,-271.19,2.09
CL 03-25,SIM101,Long,1,4996.03,4988.21,2025-03-10 03:37:00,2025-03-10 06:08:00,-462.21,2.09
CL 03-25,SIM101,Long,3,5010.48,4946.26,2025-03-10 13:41:00,2025-03-10 17:27:00,-446.17,8.36
GC 03-25,SIM101,Long,1,4967.34,5065.44,2025-03-10 13:44:00,2025-03-10 15:53:00,895.03,8.36
CL 03-25,SIM101,Short,1,4925.03,5028.61,2025-03-10 19:28:00,2025-03-10 22:25:00,-182.58,8.36
GC 03-25,SIM101,Short,1,4960.1,5003.56,2025-03-11 15:01:00,2025-03-11 17:35:00,-307.64,6.27
NQ 03-25,SIM101,Short,2,5032.68,5019.25,2025-03-11 15:21:00,2025-03-11 18:57:00,-331.5,2.09
ES 03-25,SIM101,Short,2,4968.49,5013.41,2025-03-11 21:39:00,2025-03-12 01:37:00,-142.12,6.27
CL 03-25,SIM101,Long,1,5025.73,4959.86,2025-03-11 21:58:00,2025-03-12 01:10:00,-332.17,4.18
GC 03-25,SIM101,Long,3,4990.59,4940.64,2025-03-12 07:29:00,2025-03-12 10:09:00,369.92,6.27
CL 03-25,SIM101,Short,2,5016.21,5049.32,2025-03-12 07:37:00,2025-03-12 08:07:00,462.9,6.27
CL 03-25,SIM101,Short,2,4955.91,5020.19,2025-03-12 09:16:00,2025-03-12 11:12:00,164.67,2.09
CL 03-25,SIM101,Long,3,5008.73,5010.44,2025-03-12 11:13:00,2025-03-12 13:40:00,-527.3,6.27
NQ 03-25,SIM101,Long,1,4974.51,5051.37,2025-03-13 10:10:00,2025-03-13 14:05:00,-107.64,8.36
ES 03-25,SIM101,Short,2,5026.64,5025.45,2025-03-13 11:49:00,2025-03-13 15:19:00,317.15,4.18
CL 03-25,SIM101,Long,3,4946.87,5008.65,2025-03-13 14:15:00,2025-03-13 15:20:00,-11.34,2.09
GC 03-25,SIM101,Long,2,5026.87,5010.72,2025-03-13 21:50:00,2025-03-14 01:39:00,363.0,2.09
ES 03-25,SIM101,Short,1,5007.32,5011.91,2025-03-14 07:51:00,2025-03-14 10:42:00,-288.08,4.18
CL 03-25,SIM101,Long,1,4921.13,5045.55,2025-03-14 13:29:00,2025-03-14 15:54:00,285.63,6.27
ES 03-25,SIM101,Long,1,5032.44,5051.22,2025-03-14 21:11:00,2025-03-15 01:09:00,-706.58,2.09
GC 03-25,SIM101,Short,2,4979.68,4988.81,2025-03-14 21:50:00,2025-03-14 22:54:00,-153.87,8.36
ES 03-25,SIM101,Short,3,5006.89,4980.03,2025-03-17 07:39:00,2025-03-17 10:02:00,-89.11,6.27
ES 03-25,SIM101,Short,3,4948.03,5008.04,2025-03-17 07:58:00,2025-03-17 11:20:00,-296.79,8.36
CL 03-25,SIM101,Short,1,4960.44,4985.59,2025-03-17 13:12:00,2025-03-17 16:11:00,-328.7,8.36
CL 03-25,SIM101,Short,2,5074.18,5026.39,2025-03-17 21:27:00,2025-03-17 22:39:00,606.16,2.09
NQ 03-25,SIM101,Short,2,4976.93,4951.73,2025-03-18 03:11:00,2025-03-18 05:40:00,525.59,4.18
GC 03-25,SIM101,Long,2,5015.1,5008.19,2025-03-18 11:29:00,2025-03-18 14:53:00,-182.56,2.09
CL 03-25,SIM101,Short,1,5069.52,4993.51,2025-03-18 14:11:00,2025-03-18 15:14:00,903.34,2.09
NQ 03-25,SIM101,Long,1,4969.41,4992.96,2025-03-18 15:22:00,2025-03-18 17:36:00,-401.18,4.18
ES 03-25,SIM101,Long,1,4947.08,4955.21,2025-03-19 03:53:00,2025-03-19 03:58:00,67.01,4.18
NQ 03-25,SIM101,Short,2,5048.82,5038.81,2025-03-19 10:26:00,2025-03-19 14:01:00,364.03,2.09
ES 03-25,SIM101,Short,2,4980.38,5005.04,2025-03-19 15:10:00,2025-03-19 16:44:00,118.68,6.27
ES 03-25,SIM101,Short,2,5039.62,5040.77,2025-03-19 15:26:00,2025-03-19 17:01:00,-358.62,4.18
GC 03-25,SIM101,Short,3,4936.79,5004.3,2025-03-20 07:46:00,2025-03-20 09:40:00,225.29,6.27
GC 03-25,SIM101,Long,2,4949.71,4983.5,2025-03-20 09:41:00,2025-03-20 13:04:00,13.67,2.09
ES 03-25,SIM101,Short,1,5042.78,5023.2,2025-03-20 11:26:00,2025-03-20 12:28:00,793.09,4.18
ES 03-25,SIM101,Long,2,4980.58,5040.08,2025-03-20 15:41:00,2025-03-20 17:41:00,-719.71,2.09
